id,date,time,item,qty,price
45,2023-08-24,12:03:36,Teriyaki Chicken,1,6.15
46,2023-08-24,12:13:33,String Bean Chicken Breast,1,6.15
47,2023-08-24,12:13:33,Broccoli Beef,1,6.15
48,2023-08-24,12:13:33,Kung Pao Chicken,1,6.15
49,2023-08-24,12:20:34,Chow Mein,1,4.5
50,2023-08-24,12:29:35,Orange Chicken,1,6.15
51,2023-08-24,12:29:35,Mushroom Chicken,1,6.15
52,2023-08-24,12:29:35,Beijing Beef,1,6.15
53,2023-08-24,12:35:00,Honey Sesame Chicken Breast,1,6.15
54,2023-08-24,12:35:00,Super Greens Side,1,4.5
55,2023-08-24,12:44:19,Chow Mein,1,4.5
56,2023-08-24,12:44:19,Broccoli Beef,1,6.15
57,2023-08-24,12:51:04,Honey Sesame Chicken Breast,1,6.15
58,2023-08-24,12:51:04,Teriyaki Chicken,1,6.15
59,2023-08-24,12:56:49,String Bean Chicken Breast,1,6.15
60,2023-08-24,12:56:49,Orange Chicken,1,6.15
61,2023-08-24,12:56:49,Beijing Beef,1,6.15
62,2023-08-24,13:04:06,Fried Rice,1,4.5
63,2023-08-24,13:04:06,Orange Chicken,1,6.15
64,2023-08-24,13:10:31,Fried Rice,1,4.5
65,2023-08-24,13:10:31,Grilled Teriyaki Chicken,2,6.15
66,2023-08-24,13:15:57,String Bean Chicken Breast,1,6.15
67,2023-08-24,13:15:57,Broccoli Beef,1,6.15
68,2023-08-24,13:15:57,Steamed White Rice,1,4.5
69,2023-08-24,13:25:46,Chow Mein,1,4.5
70,2023-08-24,13:25:46,Black Pepper Chicken,1,6.15
71,2023-08-24,13:25:46,Kung Pao Chicken,1,6.15
72,2023-08-24,13:32:32,Black Pepper Angus Steak,1,7.15
73,2023-08-24,13:32:32,Fried Rice,1,4.5
74,2023-08-24,13:39:25,Beijing Beef,1,6.15
75,2023-08-24,13:45:44,Broccoli Beef,1,6.15
76,2023-08-24,13:45:44,Orange Chicken,1,6.15
77,2023-08-24,13:45:44,Black Pepper Angus Steak,1,7.15
78,2023-08-24,13:50:21,Broccoli Beef,1,6.15
79,2023-08-24,13:50:21,Fried Rice,1,4.5
80,2023-08-24,13:50:21,Black Pepper Angus Steak,1,7.15
81,2023-08-24,13:57:07,Broccoli Beef,1,6.15
82,2023-08-24,13:57:07,Steamed White Rice,1,4.5
83,2023-08-24,14:06:38,String Bean Chicken Breast,1,6.15
84,2023-08-24,14:06:38,Orange Chicken,1,6.15
85,2023-08-24,14:15:57,Honey Sesame Chicken Breast,1,6.15
86,2023-08-24,14:15:57,Mushroom Chicken,1,6.15
87,2023-08-24,14:23:12,Black Pepper Angus Steak,1,7.15
88,2023-08-24,14:28:45,Mushroom Chicken,1,6.15
89,2023-08-24,14:34:43,String Bean Chicken Breast,1,6.15
90,2023-08-24,14:34:43,Black Pepper Angus Steak,1,7.15
91,2023-08-24,14:34:43,Steamed White Rice,1,4.5
92,2023-08-24,14:34:43,Beijing Beef,1,6.15
93,2023-08-24,14:40:49,Steamed White Rice,2,4.5
94,2023-08-24,14:40:49,Broccoli Beef,1,6.15
95,2023-08-24,14:40:49,Orange Chicken,1,6.15
96,2023-08-24,14:49:30,Black Pepper Angus Steak,1,7.15
97,2023-08-24,14:49:30,Kung Pao Chicken,1,6.15
98,2023-08-24,14:49:30,Teriyaki Chicken,1,6.15
99,2023-08-24,14:56:05,Chow Mein,1,4.5
100,2023-08-24,15:04:47,String Bean Chicken Breast,1,6.15
101,2023-08-24,15:04:47,Black Pepper Chicken,1,6.15
102,2023-08-24,15:04:47,Teriyaki Chicken,1,6.15
103,2023-08-24,15:04:47,Kung Pao Chicken,1,6.15
104,2023-08-24,15:15:21,Black Pepper Angus Steak,1,7.15
1152,2023-08-29,09:30:09,Fried Rice,1,4.5
105,2023-08-24,15:15:21,Orange Chicken,1,6.15
106,2023-08-24,15:23:04,Grilled Teriyaki Chicken,1,6.15
107,2023-08-24,15:32:01,Honey Sesame Chicken Breast,1,6.15
108,2023-08-24,15:32:01,Chow Mein,1,4.5
109,2023-08-24,15:32:01,Super Greens Side,1,4.5
110,2023-08-24,15:32:01,Grilled Teriyaki Chicken,1,6.15
111,2023-08-24,15:41:55,Steamed White Rice,1,4.5
112,2023-08-24,15:46:41,Kung Pao Chicken,1,6.15
113,2023-08-24,15:46:41,Black Pepper Chicken,1,6.15
114,2023-08-24,15:46:41,Steamed White Rice,1,4.5
115,2023-08-24,15:51:40,Teriyaki Chicken,1,6.15
116,2023-08-24,15:51:40,Broccoli Beef,1,6.15
117,2023-08-24,15:51:40,Black Pepper Angus Steak,1,7.15
118,2023-08-24,15:51:40,Fried Rice,1,4.5
119,2023-08-24,15:51:40,Orange Chicken,1,6.15
120,2023-08-24,15:56:56,Chow Mein,1,4.5
121,2023-08-24,15:56:56,Grilled Teriyaki Chicken,2,6.15
122,2023-08-24,16:05:35,Fried Rice,1,4.5
123,2023-08-24,16:05:35,Teriyaki Chicken,1,6.15
124,2023-08-24,16:13:34,Broccoli Beef,1,6.15
125,2023-08-24,16:13:34,Beijing Beef,1,6.15
126,2023-08-24,16:13:34,Steamed White Rice,1,4.5
127,2023-08-24,16:20:41,Super Greens Side,1,4.5
128,2023-08-24,16:20:41,Chow Mein,1,4.5
129,2023-08-24,16:20:41,Honey Sesame Chicken Breast,1,6.15
130,2023-08-24,16:30:08,Chow Mein,1,4.5
131,2023-08-24,16:30:08,Broccoli Beef,1,6.15
132,2023-08-24,16:30:08,Steamed White Rice,1,4.5
133,2023-08-24,16:35:22,Grilled Teriyaki Chicken,1,6.15
134,2023-08-24,16:35:22,Chow Mein,2,4.5
135,2023-08-24,16:35:22,Beijing Beef,1,6.15
136,2023-08-24,16:42:42,Honey Sesame Chicken Breast,1,6.15
137,2023-08-24,16:42:42,Black Pepper Angus Steak,1,7.15
138,2023-08-24,16:42:42,Black Pepper Chicken,1,6.15
139,2023-08-24,16:49:54,Orange Chicken,1,6.15
140,2023-08-24,16:59:56,Honey Sesame Chicken Breast,1,6.15
141,2023-08-24,16:59:56,Orange Chicken,1,6.15
142,2023-08-24,16:59:56,Mushroom Chicken,1,6.15
143,2023-08-24,16:59:56,Teriyaki Chicken,1,6.15
144,2023-08-24,17:06:30,Chow Mein,1,4.5
145,2023-08-24,17:06:30,Kung Pao Chicken,1,6.15
146,2023-08-24,17:15:49,Teriyaki Chicken,2,6.15
147,2023-08-24,17:15:49,Beijing Beef,1,6.15
148,2023-08-24,17:22:14,Broccoli Beef,1,6.15
149,2023-08-24,17:27:54,Black Pepper Angus Steak,1,7.15
150,2023-08-24,17:27:54,Black Pepper Chicken,1,6.15
151,2023-08-24,17:35:55,Black Pepper Angus Steak,1,7.15
152,2023-08-24,17:35:55,Fried Rice,1,4.5
153,2023-08-24,17:35:55,Grilled Teriyaki Chicken,1,6.15
154,2023-08-24,17:43:24,String Bean Chicken Breast,1,6.15
155,2023-08-24,17:43:24,Mushroom Chicken,1,6.15
156,2023-08-24,17:48:44,Honey Sesame Chicken Breast,1,6.15
157,2023-08-24,17:48:44,Orange Chicken,1,6.15
158,2023-08-24,17:48:44,Beijing Beef,1,6.15
159,2023-08-24,17:55:07,Super Greens Side,1,4.5
160,2023-08-24,17:55:07,Fried Rice,1,4.5
161,2023-08-24,17:55:07,Mushroom Chicken,1,6.15
162,2023-08-24,17:55:07,Steamed White Rice,1,4.5
163,2023-08-24,18:02:05,Super Greens Side,1,4.5
164,2023-08-24,18:02:05,Black Pepper Angus Steak,1,7.15
165,2023-08-24,18:02:05,Teriyaki Chicken,1,6.15
166,2023-08-24,18:07:35,Kung Pao Chicken,1,6.15
167,2023-08-24,18:07:35,Mushroom Chicken,1,6.15
168,2023-08-24,18:07:35,Teriyaki Chicken,1,6.15
169,2023-08-24,18:16:04,Honey Sesame Chicken Breast,1,6.15
170,2023-08-24,18:16:04,Black Pepper Chicken,1,6.15
171,2023-08-24,18:16:04,Mushroom Chicken,1,6.15
172,2023-08-24,18:24:08,String Bean Chicken Breast,1,6.15
173,2023-08-24,18:24:08,Orange Chicken,1,6.15
174,2023-08-24,18:24:08,Teriyaki Chicken,1,6.15
175,2023-08-24,18:24:08,Steamed White Rice,1,4.5
176,2023-08-24,18:33:10,Super Greens Side,1,4.5
177,2023-08-24,18:33:10,Kung Pao Chicken,1,6.15
178,2023-08-24,18:33:10,Fried Rice,1,4.5
179,2023-08-24,18:41:01,Broccoli Beef,1,6.15
180,2023-08-24,18:46:37,String Bean Chicken Breast,1,6.15
181,2023-08-24,18:46:37,Kung Pao Chicken,1,6.15
182,2023-08-24,18:54:24,Broccoli Beef,1,6.15
183,2023-08-24,18:54:24,Grilled Teriyaki Chicken,1,6.15
184,2023-08-24,19:00:22,Mushroom Chicken,1,6.15
185,2023-08-24,19:00:22,Teriyaki Chicken,1,6.15
186,2023-08-24,19:07:12,Chow Mein,1,4.5
187,2023-08-24,19:16:15,Honey Sesame Chicken Breast,1,6.15
188,2023-08-24,19:16:15,Black Pepper Angus Steak,1,7.15
189,2023-08-24,19:23:52,Honey Sesame Chicken Breast,1,6.15
190,2023-08-24,19:23:52,Kung Pao Chicken,1,6.15
191,2023-08-24,19:23:52,Super Greens Side,1,4.5
192,2023-08-24,19:28:30,Black Pepper Chicken,1,6.15
193,2023-08-24,19:28:30,Mushroom Chicken,1,6.15
194,2023-08-24,19:35:39,String Bean Chicken Breast,1,6.15
195,2023-08-24,19:35:39,Mushroom Chicken,1,6.15
196,2023-08-24,19:35:39,Beijing Beef,1,6.15
197,2023-08-24,19:41:46,Honey Sesame Chicken Breast,1,6.15
198,2023-08-24,19:41:46,Orange Chicken,1,6.15
199,2023-08-24,19:50:36,Broccoli Beef,1,6.15
200,2023-08-24,19:56:03,Broccoli Beef,1,6.15
201,2023-08-24,20:01:10,Kung Pao Chicken,1,6.15
202,2023-08-24,20:01:10,Chow Mein,2,4.5
203,2023-08-24,20:01:10,Beijing Beef,1,6.15
204,2023-08-24,20:01:10,Super Greens Side,1,4.5
205,2023-08-24,20:01:10,Grilled Teriyaki Chicken,1,6.15
206,2023-08-24,20:09:48,Chow Mein,1,4.5
207,2023-08-24,20:09:48,Fried Rice,1,4.5
208,2023-08-24,20:09:48,Broccoli Beef,1,6.15
209,2023-08-24,20:15:17,Orange Chicken,1,6.15
210,2023-08-24,20:15:17,Kung Pao Chicken,2,6.15
211,2023-08-24,20:15:17,Mushroom Chicken,1,6.15
212,2023-08-24,20:24:28,Steamed White Rice,1,4.5
213,2023-08-24,20:30:49,Chow Mein,1,4.5
214,2023-08-24,20:30:49,Beijing Beef,1,6.15
215,2023-08-24,20:39:29,Chow Mein,1,4.5
216,2023-08-24,20:49:11,Honey Sesame Chicken Breast,1,6.15
217,2023-08-24,20:49:11,Kung Pao Chicken,1,6.15
218,2023-08-24,20:55:34,Super Greens Side,1,4.5
219,2023-08-24,20:55:34,Broccoli Beef,1,6.15
220,2023-08-24,20:55:34,Teriyaki Chicken,1,6.15
221,2023-08-24,20:55:34,Beijing Beef,1,6.15
222,2023-08-24,21:00:50,Honey Sesame Chicken Breast,1,6.15
223,2023-08-24,21:00:50,Fried Rice,1,4.5
224,2023-08-24,21:06:33,Honey Sesame Chicken Breast,1,6.15
225,2023-08-24,21:06:33,Grilled Teriyaki Chicken,1,6.15
226,2023-08-24,21:12:26,Chow Mein,1,4.5
227,2023-08-24,21:12:26,Fried Rice,1,4.5
228,2023-08-24,21:20:53,Chow Mein,1,4.5
229,2023-08-24,21:20:53,Steamed White Rice,1,4.5
230,2023-08-24,21:26:23,Broccoli Beef,1,6.15
231,2023-08-24,21:26:23,Fried Rice,1,4.5
232,2023-08-24,21:26:23,Grilled Teriyaki Chicken,1,6.15
233,2023-08-24,21:31:21,Honey Sesame Chicken Breast,1,6.15
234,2023-08-24,21:31:21,Fried Rice,1,4.5
235,2023-08-24,21:39:33,Honey Sesame Chicken Breast,1,6.15
236,2023-08-24,21:39:33,Black Pepper Angus Steak,2,7.15
237,2023-08-24,21:39:33,Teriyaki Chicken,1,6.15
238,2023-08-24,21:46:57,Broccoli Beef,1,6.15
239,2023-08-24,21:46:57,Teriyaki Chicken,1,6.15
240,2023-08-24,21:55:44,Honey Sesame Chicken Breast,1,6.15
241,2023-08-24,21:55:44,Broccoli Beef,2,6.15
242,2023-08-24,21:55:44,Orange Chicken,1,6.15
243,2023-08-25,09:30:35,Fried Rice,1,4.5
244,2023-08-25,09:37:03,Black Pepper Angus Steak,1,7.15
245,2023-08-25,09:37:03,Fried Rice,1,4.5
246,2023-08-25,09:37:03,Mushroom Chicken,1,6.15
247,2023-08-25,09:47:02,Teriyaki Chicken,1,6.15
248,2023-08-25,09:47:02,Steamed White Rice,1,4.5
249,2023-08-25,09:54:24,String Bean Chicken Breast,2,6.15
250,2023-08-25,09:54:24,Grilled Teriyaki Chicken,1,6.15
251,2023-08-25,10:03:11,String Bean Chicken Breast,1,6.15
252,2023-08-25,10:09:21,Broccoli Beef,1,6.15
253,2023-08-25,10:16:49,Chow Mein,1,4.5
254,2023-08-25,10:16:49,Grilled Teriyaki Chicken,2,6.15
255,2023-08-25,10:25:40,String Bean Chicken Breast,1,6.15
256,2023-08-25,10:25:40,Grilled Teriyaki Chicken,2,6.15
257,2023-08-25,10:31:41,Kung Pao Chicken,1,6.15
258,2023-08-25,10:38:05,String Bean Chicken Breast,1,6.15
259,2023-08-25,10:38:05,Kung Pao Chicken,1,6.15
260,2023-08-25,10:38:05,Teriyaki Chicken,2,6.15
261,2023-08-25,10:38:05,Grilled Teriyaki Chicken,1,6.15
262,2023-08-25,10:47:31,Honey Sesame Chicken Breast,1,6.15
263,2023-08-25,10:47:31,Grilled Teriyaki Chicken,1,6.15
264,2023-08-25,10:47:31,Steamed White Rice,1,4.5
265,2023-08-25,10:54:45,Black Pepper Chicken,1,6.15
266,2023-08-25,10:54:45,Fried Rice,1,4.5
267,2023-08-25,10:54:45,Beijing Beef,1,6.15
268,2023-08-25,10:54:45,Steamed White Rice,1,4.5
269,2023-08-25,11:00:35,Broccoli Beef,1,6.15
270,2023-08-25,11:00:35,Orange Chicken,1,6.15
271,2023-08-25,11:00:35,Grilled Teriyaki Chicken,1,6.15
272,2023-08-25,11:07:46,Broccoli Beef,1,6.15
273,2023-08-25,11:07:46,Fried Rice,1,4.5
274,2023-08-25,11:07:46,Orange Chicken,1,6.15
275,2023-08-25,11:07:46,Teriyaki Chicken,2,6.15
276,2023-08-25,11:14:46,Broccoli Beef,1,6.15
277,2023-08-25,11:14:46,Black Pepper Chicken,1,6.15
278,2023-08-25,11:14:46,Steamed White Rice,1,4.5
279,2023-08-25,11:20:16,Black Pepper Chicken,1,6.15
280,2023-08-25,11:20:16,Orange Chicken,1,6.15
281,2023-08-25,11:20:16,Kung Pao Chicken,1,6.15
282,2023-08-25,11:29:26,Black Pepper Angus Steak,1,7.15
283,2023-08-25,11:29:26,Beijing Beef,1,6.15
284,2023-08-25,11:35:25,Fried Rice,1,4.5
285,2023-08-25,11:35:25,Beijing Beef,1,6.15
286,2023-08-25,11:45:23,Honey Sesame Chicken Breast,1,6.15
287,2023-08-25,11:45:23,Fried Rice,1,4.5
288,2023-08-25,11:45:23,Super Greens Side,1,4.5
289,2023-08-25,11:52:12,Super Greens Side,1,4.5
290,2023-08-25,11:52:12,Broccoli Beef,1,6.15
291,2023-08-25,11:52:12,Steamed White Rice,1,4.5
292,2023-08-25,12:00:46,Chow Mein,1,4.5
293,2023-08-25,12:00:46,Mushroom Chicken,1,6.15
294,2023-08-25,12:08:26,Black Pepper Angus Steak,1,7.15
295,2023-08-25,12:08:26,Mushroom Chicken,1,6.15
296,2023-08-25,12:15:11,Chow Mein,1,4.5
297,2023-08-25,12:15:11,Kung Pao Chicken,1,6.15
298,2023-08-25,12:15:11,Teriyaki Chicken,1,6.15
299,2023-08-25,12:21:34,Broccoli Beef,1,6.15
300,2023-08-25,12:21:34,Fried Rice,1,4.5
301,2023-08-25,12:21:34,Teriyaki Chicken,1,6.15
302,2023-08-25,12:29:15,String Bean Chicken Breast,1,6.15
303,2023-08-25,12:29:15,Chow Mein,1,4.5
304,2023-08-25,12:37:33,Super Greens Side,1,4.5
305,2023-08-25,12:37:33,Honey Sesame Chicken Breast,2,6.15
306,2023-08-25,12:37:33,Black Pepper Chicken,1,6.15
307,2023-08-25,12:37:33,Orange Chicken,2,6.15
308,2023-08-25,12:46:20,Orange Chicken,2,6.15
309,2023-08-25,12:55:41,String Bean Chicken Breast,1,6.15
310,2023-08-25,12:55:41,Steamed White Rice,1,4.5
311,2023-08-25,13:05:02,Chow Mein,1,4.5
312,2023-08-25,13:13:51,Steamed White Rice,1,4.5
313,2023-08-25,13:19:46,String Bean Chicken Breast,1,6.15
314,2023-08-25,13:19:46,Mushroom Chicken,1,6.15
315,2023-08-25,13:19:46,Teriyaki Chicken,1,6.15
316,2023-08-25,13:26:45,Black Pepper Angus Steak,2,7.15
317,2023-08-25,13:36:05,String Bean Chicken Breast,1,6.15
318,2023-08-25,13:36:05,Super Greens Side,1,4.5
319,2023-08-25,13:36:05,Teriyaki Chicken,2,6.15
320,2023-08-25,13:36:05,Kung Pao Chicken,1,6.15
321,2023-08-25,13:43:53,String Bean Chicken Breast,1,6.15
322,2023-08-25,13:43:53,Chow Mein,1,4.5
323,2023-08-25,13:51:44,Honey Sesame Chicken Breast,1,6.15
324,2023-08-25,13:51:44,Broccoli Beef,1,6.15
325,2023-08-25,13:58:04,Black Pepper Angus Steak,1,7.15
326,2023-08-25,14:04:15,Broccoli Beef,1,6.15
327,2023-08-25,14:04:15,Beijing Beef,1,6.15
328,2023-08-25,14:04:15,Grilled Teriyaki Chicken,1,6.15
329,2023-08-25,14:11:33,Fried Rice,1,4.5
330,2023-08-25,14:19:51,Steamed White Rice,2,4.5
331,2023-08-25,14:19:51,Orange Chicken,1,6.15
332,2023-08-25,14:26:56,String Bean Chicken Breast,1,6.15
333,2023-08-25,14:26:56,Black Pepper Chicken,1,6.15
334,2023-08-25,14:26:56,Kung Pao Chicken,1,6.15
335,2023-08-25,14:34:06,Orange Chicken,1,6.15
336,2023-08-25,14:44:03,Kung Pao Chicken,1,6.15
337,2023-08-25,14:44:03,Teriyaki Chicken,1,6.15
338,2023-08-25,14:44:03,Black Pepper Chicken,1,6.15
339,2023-08-25,14:44:03,Mushroom Chicken,1,6.15
340,2023-08-25,14:44:03,Super Greens Side,1,4.5
341,2023-08-25,14:51:01,Super Greens Side,1,4.5
342,2023-08-25,14:51:01,Broccoli Beef,1,6.15
343,2023-08-25,14:58:53,String Bean Chicken Breast,1,6.15
344,2023-08-25,15:05:34,Black Pepper Chicken,1,6.15
345,2023-08-25,15:05:34,Fried Rice,1,4.5
346,2023-08-25,15:12:48,Honey Sesame Chicken Breast,1,6.15
347,2023-08-25,15:12:48,Chow Mein,1,4.5
348,2023-08-25,15:12:48,Kung Pao Chicken,1,6.15
349,2023-08-25,15:12:48,Mushroom Chicken,1,6.15
350,2023-08-25,15:18:33,Beijing Beef,2,6.15
351,2023-08-25,15:18:33,Kung Pao Chicken,1,6.15
352,2023-08-25,15:18:33,Teriyaki Chicken,1,6.15
353,2023-08-25,15:18:33,Steamed White Rice,1,4.5
354,2023-08-25,15:24:54,Super Greens Side,1,4.5
355,2023-08-25,15:24:54,Fried Rice,1,4.5
356,2023-08-25,15:24:54,Teriyaki Chicken,1,6.15
357,2023-08-25,15:24:54,Beijing Beef,1,6.15
358,2023-08-25,15:33:53,Beijing Beef,1,6.15
359,2023-08-25,15:39:24,Super Greens Side,1,4.5
360,2023-08-25,15:39:24,Broccoli Beef,1,6.15
361,2023-08-25,15:39:24,Black Pepper Angus Steak,1,7.15
362,2023-08-25,15:48:51,Honey Sesame Chicken Breast,1,6.15
363,2023-08-25,15:48:51,Beijing Beef,1,6.15
364,2023-08-25,15:56:42,Black Pepper Chicken,1,6.15
365,2023-08-25,15:56:42,Mushroom Chicken,1,6.15
366,2023-08-25,15:56:42,Grilled Teriyaki Chicken,1,6.15
367,2023-08-25,16:04:52,String Bean Chicken Breast,1,6.15
368,2023-08-25,16:04:52,Fried Rice,1,4.5
369,2023-08-25,16:04:52,Mushroom Chicken,1,6.15
370,2023-08-25,16:14:01,Kung Pao Chicken,1,6.15
371,2023-08-25,16:23:10,Honey Sesame Chicken Breast,1,6.15
372,2023-08-25,16:29:43,Honey Sesame Chicken Breast,1,6.15
373,2023-08-25,16:29:43,Fried Rice,1,4.5
374,2023-08-25,16:29:43,Steamed White Rice,2,4.5
375,2023-08-25,16:35:30,String Bean Chicken Breast,1,6.15
376,2023-08-25,16:35:30,Mushroom Chicken,1,6.15
377,2023-08-25,16:41:03,Super Greens Side,1,4.5
378,2023-08-25,16:41:03,Mushroom Chicken,1,6.15
379,2023-08-25,16:50:17,Super Greens Side,1,4.5
380,2023-08-25,16:50:17,Teriyaki Chicken,1,6.15
381,2023-08-25,16:50:17,Honey Sesame Chicken Breast,1,6.15
382,2023-08-25,16:50:17,Broccoli Beef,1,6.15
383,2023-08-25,16:50:17,String Bean Chicken Breast,1,6.15
384,2023-08-25,16:56:12,Mushroom Chicken,1,6.15
385,2023-08-25,16:56:12,Orange Chicken,2,6.15
386,2023-08-25,16:56:12,Steamed White Rice,1,4.5
387,2023-08-25,17:03:38,Super Greens Side,1,4.5
388,2023-08-25,17:03:38,Black Pepper Chicken,1,6.15
389,2023-08-25,17:03:38,Fried Rice,1,4.5
390,2023-08-25,17:03:38,Steamed White Rice,1,4.5
391,2023-08-25,17:09:30,String Bean Chicken Breast,1,6.15
392,2023-08-25,17:09:30,Chow Mein,1,4.5
393,2023-08-25,17:17:49,String Bean Chicken Breast,1,6.15
394,2023-08-25,17:23:33,Orange Chicken,1,6.15
395,2023-08-25,17:23:33,Steamed White Rice,1,4.5
396,2023-08-25,17:31:05,Super Greens Side,1,4.5
397,2023-08-25,17:31:05,String Bean Chicken Breast,1,6.15
398,2023-08-25,17:38:44,Chow Mein,1,4.5
399,2023-08-25,17:38:44,Mushroom Chicken,1,6.15
400,2023-08-25,17:38:44,Black Pepper Angus Steak,1,7.15
401,2023-08-25,17:44:08,Black Pepper Angus Steak,1,7.15
402,2023-08-25,17:44:08,Orange Chicken,1,6.15
403,2023-08-25,17:44:08,Teriyaki Chicken,1,6.15
404,2023-08-25,17:53:27,String Bean Chicken Breast,1,6.15
405,2023-08-25,18:00:41,Black Pepper Chicken,1,6.15
406,2023-08-25,18:00:41,Steamed White Rice,1,4.5
407,2023-08-25,18:08:16,Honey Sesame Chicken Breast,1,6.15
408,2023-08-25,18:08:16,Grilled Teriyaki Chicken,1,6.15
409,2023-08-25,18:17:47,Honey Sesame Chicken Breast,1,6.15
410,2023-08-25,18:27:08,Fried Rice,1,4.5
411,2023-08-25,18:34:17,Honey Sesame Chicken Breast,1,6.15
412,2023-08-25,18:34:17,Super Greens Side,1,4.5
413,2023-08-25,18:43:40,Black Pepper Chicken,1,6.15
414,2023-08-25,18:51:35,Black Pepper Chicken,2,6.15
415,2023-08-25,19:01:06,Chow Mein,1,4.5
416,2023-08-25,19:01:06,Mushroom Chicken,1,6.15
417,2023-08-25,19:01:06,Steamed White Rice,1,4.5
418,2023-08-25,19:07:01,String Bean Chicken Breast,1,6.15
419,2023-08-25,19:07:01,Black Pepper Chicken,1,6.15
420,2023-08-25,19:07:01,Teriyaki Chicken,1,6.15
421,2023-08-25,19:15:25,Orange Chicken,1,6.15
422,2023-08-25,19:20:47,Grilled Teriyaki Chicken,1,6.15
423,2023-08-25,19:20:47,Teriyaki Chicken,2,6.15
424,2023-08-25,19:20:47,Beijing Beef,1,6.15
425,2023-08-25,19:27:09,String Bean Chicken Breast,1,6.15
426,2023-08-25,19:27:09,Black Pepper Angus Steak,1,7.15
427,2023-08-25,19:36:22,Chow Mein,1,4.5
428,2023-08-25,19:44:15,String Bean Chicken Breast,1,6.15
429,2023-08-25,19:44:15,Fried Rice,1,4.5
430,2023-08-25,19:53:41,Orange Chicken,1,6.15
431,2023-08-25,19:53:41,Grilled Teriyaki Chicken,1,6.15
432,2023-08-25,19:59:08,String Bean Chicken Breast,1,6.15
433,2023-08-25,20:05:12,String Bean Chicken Breast,1,6.15
434,2023-08-25,20:05:12,Super Greens Side,1,4.5
435,2023-08-25,20:05:12,Grilled Teriyaki Chicken,1,6.15
436,2023-08-25,20:15:13,Beijing Beef,1,6.15
437,2023-08-25,20:24:44,Black Pepper Chicken,1,6.15
438,2023-08-25,20:24:44,Mushroom Chicken,1,6.15
439,2023-08-25,20:31:13,String Bean Chicken Breast,1,6.15
440,2023-08-25,20:36:56,Steamed White Rice,2,4.5
441,2023-08-25,20:36:56,Grilled Teriyaki Chicken,1,6.15
442,2023-08-25,20:45:02,Chow Mein,1,4.5
443,2023-08-25,20:45:02,Mushroom Chicken,1,6.15
444,2023-08-25,20:51:18,Broccoli Beef,2,6.15
445,2023-08-25,20:51:18,Orange Chicken,1,6.15
